timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1504728560583,65,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728560706,13,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728560720,67,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728560787,65,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728560854,69,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728560923,48,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728560972,116,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561088,70,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561158,15,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561173,65,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561238,12,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561250,62,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561312,12,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561325,70,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561395,108,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561503,87,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561590,106,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561696,13,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561710,66,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561776,66,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561842,15,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561858,47,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561905,76,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728561981,16,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728562000,66,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728562066,54,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728562120,63,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728562183,62,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728562245,65,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728562310,66,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728562376,13,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728562390,15,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728562405,113,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728562518,58,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,1,1,0,0,0
1504728562576,65,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728562642,49,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728562629,62,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728562691,13,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728562692,24,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728562716,78,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728562704,91,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728562794,15,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728562809,48,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728562795,63,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728562857,14,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728562871,17,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728562889,37,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728562858,68,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728562926,15,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728562927,34,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728562941,72,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728562961,64,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563013,55,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563025,55,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563068,29,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563080,21,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563097,37,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563101,46,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563134,24,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563147,13,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563158,104,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563165,98,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563263,13,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563263,65,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563276,55,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563331,12,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563328,15,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563344,40,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563344,40,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563384,14,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563399,15,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563385,79,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563414,50,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563464,100,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,2,2,0,0,0
1504728563464,100,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,2,2,0,0,0
1504728563564,66,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728563564,67,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728563631,15,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728563630,16,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728563646,43,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728563626,63,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728563647,57,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728563690,14,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728563689,32,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728563721,40,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728563704,58,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728563704,61,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728563762,14,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728563761,31,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728563766,26,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728563792,34,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728563792,34,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728563776,50,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728563827,14,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728563827,30,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728563826,72,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728563841,57,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728563857,55,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728563898,17,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728563898,24,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728563922,43,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728563916,49,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728563913,72,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728563985,13,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728563965,92,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728563998,61,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564059,12,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564071,47,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564058,60,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564057,63,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564121,12,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564118,31,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564149,39,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564133,55,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564118,70,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564189,12,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564188,25,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564189,24,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564201,15,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564213,72,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564216,69,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564213,72,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564286,19,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564286,19,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564285,27,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564305,40,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564312,33,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564305,40,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564347,13,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564345,29,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564360,15,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564375,39,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564374,41,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564347,68,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564415,4,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564419,12,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564414,17,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564415,16,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564433,17,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564434,18,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564450,36,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564434,53,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564487,3,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564486,15,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564490,31,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564453,68,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564502,45,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564523,25,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564547,14,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564548,23,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564572,42,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,3,3,0,0,0
1504728564523,92,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,3,3,0,0,0
1504728564561,54,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,3,3,0,0,0
1504728564617,14,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,4,4,0,0,0
1504728564614,36,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,4,4,0,0,0
1504728564634,18,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,4,4,0,0,0
1504728564630,24,RW Request,,,bzm - Concurrency Thread Group 2-4,,true,,0,0,4,4,0,0,0
1504728564652,31,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,4,4,0,0,0
1504728564650,34,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,4,4,0,0,0
1504728564617,68,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,4,4,0,0,0
1504728564684,14,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,4,4,0,0,0
1504728564684,42,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,4,4,0,0,0
1504728564685,45,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,4,4,0,0,0
1504728564654,76,RW Request,,,bzm - Concurrency Thread Group 2-4,,true,,0,0,4,4,0,0,0
1504728564698,33,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,4,4,0,0,0
1504728564730,10,RW Request,,,bzm - Concurrency Thread Group 2-4,,true,,0,0,4,4,0,0,0
1504728564730,23,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,4,4,0,0,0
1504728564740,13,RW Request,,,bzm - Concurrency Thread Group 2-4,,true,,0,0,4,4,0,0,0
1504728564731,36,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,4,4,0,0,0
1504728564753,28,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,4,4,0,0,0
1504728564767,49,RW Request,,,bzm - Concurrency Thread Group 2-3,,true,,0,0,4,4,0,0,0
1504728564730,86,RW Request,,,bzm - Concurrency Thread Group 2-2,,true,,0,0,4,4,0,0,0
1504728564753,63,RW Request,,,bzm - Concurrency Thread Group 2-4,,true,,0,0,4,4,0,0,0
1504728564781,36,RW Request,,,bzm - Concurrency Thread Group 2-1,,true,,0,0,4,4,0,0,0
1504728564817,21,RW Request,,,bzm - Concurrency Thread Group 2-4,,true,,0,0,4,4,0,0,0
